TF_Locus,Matrix_ID,Matrix_Type,Family
AT1G13260,TFmatrixID_1376,Direct,RAV
AT1G13260,TFmatrixID_0090,Direct,RAV
AT1G13260,TFmatrixID_0089,Direct,RAV
AT1G13260,TFmatrixID_0561,Direct,RAV
AT1G13260,TFmatrixID_0527,Direct,RAV
AT1G13260,TFmatrixID_0123,Direct,RAV
AT1G13260,TFmatrixID_0528,Direct,RAV
AT1G13260,TF_motif_seq_0255,Direct,RAV
AT1G13300,TFmatrixID_1042,Direct,G2-like
AT1G13300,TFmatrixID_0332,Direct,G2-like
AT1G13300,TFmatrixID_1543,Direct,G2-like
AT1G13400,TFmatrixID_0968,Direct,NA
AT1G13450,TFmatrixID_1437,Direct,Trihelix
AT1G13450,TF_motif_seq_0320,Direct,Trihelix
AT1G13450,TFmatrixID_0305,Direct,Trihelix
AT1G13960,TFmatrixID_0534,Inferred,WRKY
AT1G13960,TF_motif_seq_0339,Direct,WRKY
AT1G13960,TF_motif_seq_0270,Direct,WRKY
AT1G13960,TFmatrixID_0465,Inferred,WRKY
AT1G13960,TFmatrixID_0449,Inferred,WRKY
AT1G13960,TFmatrixID_0451,Inferred,WRKY
AT1G14580,TFmatrixID_0967,Direct,C2H2
AT1G14580,TFmatrixID_0978,Direct,C2H2
AT1G14580,TFmatrixID_0485,Inferred,C2H2
AT1G14687,TFmatrixID_1509,Direct,ZF-HD
AT1G14900,TFmatrixID_0129,Direct,AT-Hook
AT1G15360,TFmatrixID_0055,Direct,ERF
AT1G15720,TFmatrixID_0333,Direct,MYB_related
AT1G16060,TFmatrixID_0539,Inferred,AP2
AT1G16060,TFmatrixID_0516,Inferred,AP2
AT1G16490,TFmatrixID_1146,Direct,MYB
AT1G16490,TFmatrixID_1172,Direct,MYB
AT1G16530,TFmatrixID_0304,Inferred,LBD
AT1G16530,TFmatrixID_0303,Inferred,LBD
AT1G17590,TF_motif_seq_0257,Direct,NF-YA
AT1G17920,TFmatrixID_0280,Inferred,HD-ZIP
AT1G17920,TFmatrixID_0290,Inferred,HD-ZIP
AT1G17920,TFmatrixID_0288,Inferred,HD-ZIP
AT1G17950,TFmatrixID_1227,Direct,MYB
AT1G17950,TFmatrixID_0591,Direct,MYB
AT1G17950,TFmatrixID_0590,Direct,MYB
AT1G18330,TFmatrixID_0334,Direct,MYB_related
AT1G18330,TFmatrixID_1517,Direct,MYB_related
AT1G18330,TFmatrixID_1232,Direct,MYB_related
AT1G18330,TFmatrixID_1229,Direct,MYB_related
AT1G18400,TFmatrixID_0161,Inferred,bHLH
AT1G18400,TFmatrixID_0174,Inferred,bHLH
AT1G18400,TFmatrixID_0179,Inferred,bHLH
AT1G18400,TFmatrixID_0163,Inferred,bHLH
AT1G18400,TFmatrixID_0169,Inferred,bHLH
AT1G18570,TFmatrixID_1210,Direct,MYB
AT1G18860,TFmatrixID_0457,Inferred,WRKY
AT1G18860,TFmatrixID_0464,Inferred,WRKY
AT1G18860,TFmatrixID_0446,Inferred,WRKY
AT1G18860,TFmatrixID_0458,Inferred,WRKY
AT1G18860,TFmatrixID_0454,Inferred,WRKY
AT1G18860,TFmatrixID_0460,Inferred,WRKY
AT1G18860,TFmatrixID_0468,Inferred,WRKY
AT1G18860,TF_motif_seq_0339,Direct,WRKY
AT1G18860,TFmatrixID_0447,Inferred,WRKY
AT1G18860,TFmatrixID_0466,Inferred,WRKY
AT1G18860,TFmatrixID_0444,Inferred,WRKY
AT1G18860,TF_motif_seq_0270,Direct,WRKY
AT1G18860,TFmatrixID_0461,Inferred,WRKY
AT1G18860,TFmatrixID_0448,Inferred,WRKY
AT1G18860,TFmatrixID_0455,Inferred,WRKY
AT1G18860,TFmatrixID_0445,Inferred,WRKY
AT1G18860,TFmatrixID_0442,Inferred,WRKY
AT1G18860,TFmatrixID_0450,Inferred,WRKY
AT1G18860,TFmatrixID_0462,Inferred,WRKY
AT1G18860,TFmatrixID_0453,Inferred,WRKY
AT1G18860,TFmatrixID_0456,Inferred,WRKY
AT1G18860,TFmatrixID_0463,Inferred,WRKY
AT1G18860,TFmatrixID_0452,Inferred,WRKY
AT1G18960,TFmatrixID_1270,Direct,MYB_related
AT1G19000,TFmatrixID_1245,Direct,MYB_related
AT1G19000,TFmatrixID_1240,Direct,MYB_related
AT1G19000,TFmatrixID_0335,Direct,MYB_related
AT1G19040,TFmatrixID_1355,Direct,NAC
AT1G19210,TFmatrixID_0064,Inferred,ERF
AT1G19210,TFmatrixID_0121,Inferred,ERF
AT1G19210,TFmatrixID_0679,Direct,ERF
AT1G19210,TFmatrixID_0658,Direct,ERF
AT1G19210,TFmatrixID_0118,Inferred,ERF
AT1G19220,TFmatrixID_0156,Inferred,ARF
AT1G19220,TF_motif_seq_0335,Direct,ARF
AT1G19350,TFmatrixID_0494,Direct,BES1
AT1G19485,TFmatrixID_0147,Inferred,AT-Hook
AT1G19485,TFmatrixID_0148,Inferred,AT-Hook
AT1G19485,TFmatrixID_0152,Inferred,AT-Hook
AT1G19485,TFmatrixID_0130,Inferred,AT-Hook
AT1G19485,TFmatrixID_0131,Inferred,AT-Hook
AT1G19790,TFmatrixID_1397,Direct,SRS
AT1G19790,TFmatrixID_1398,Direct,SRS
AT1G19850,TF_motif_seq_0335,Direct,ARF
AT1G19850,TFmatrixID_0156,Inferred,ARF
AT1G19850,TFmatrixID_0784,Direct,ARF
AT1G20640,TFmatrixID_1370,Direct,Nin-like
AT1G20700,TFmatrixID_0299,Inferred,WOX
AT1G20710,TFmatrixID_0299,Inferred,WOX
AT1G20910,TFmatrixID_0787,Direct,NA
AT1G20980,TFmatrixID_1391,Direct,SBP
AT1G20980,TFmatrixID_0400,Direct,SBP
AT1G20980,TF_motif_seq_0508,Direct,SBP
AT1G20980,TFmatrixID_0531,Direct,SBP
AT1G21340,TF_motif_seq_0239,Direct,Dof
AT1G21910,TFmatrixID_0121,Inferred,ERF
AT1G21910,TFmatrixID_0760,Direct,ERF
AT1G21970,TF_motif_seq_0257,Direct,NF-YB
AT1G22070,TF_motif_seq_0271,Direct,bZIP
AT1G22070,TFmatrixID_0857,Direct,bZIP
AT1G22070,TF_motif_seq_0451,Direct,bZIP
AT1G22070,TFmatrixID_0871,Direct,bZIP
AT1G22070,TFmatrixID_1551,Direct,bZIP
AT1G22130,TFmatrixID_0536,Inferred,MIKC_MADS
AT1G22130,TFmatrixID_0470,Inferred,MIKC_MADS
AT1G22190,TFmatrixID_0487,Inferred,ERF
AT1G22190,TFmatrixID_0066,Inferred,ERF
AT1G22190,TFmatrixID_0122,Inferred,ERF
AT1G22190,TFmatrixID_0069,Inferred,ERF
AT1G22190,TFmatrixID_0113,Inferred,ERF
AT1G22190,TFmatrixID_0087,Inferred,ERF
AT1G22190,TFmatrixID_0067,Inferred,ERF
AT1G22640,TFmatrixID_0336,Direct,MYB
AT1G22810,TFmatrixID_0705,Direct,ERF
AT1G22810,TFmatrixID_0699,Direct,ERF
AT1G22985,TFmatrixID_0056,Direct,ERF
AT1G23380,TFmatrixID_0278,Direct,TALE
AT1G23380,TF_motif_seq_0246,Direct,TALE
AT1G23420,TFmatrixID_0412,Direct,YABBY
AT1G23810,TFmatrixID_1373,Direct,NA
AT1G24250,TFmatrixID_1372,Direct,NA
AT1G24260,TFmatrixID_0508,Direct,MIKC_MADS
AT1G24590,TFmatrixID_0122,Inferred,ERF
AT1G24590,TFmatrixID_0101,Inferred,ERF
AT1G24590,TFmatrixID_0075,Inferred,ERF
AT1G24590,TFmatrixID_0061,Inferred,ERF
AT1G24590,TFmatrixID_0053,Inferred,ERF
AT1G24590,TFmatrixID_0077,Inferred,ERF
AT1G24590,TFmatrixID_0110,Inferred,ERF
AT1G24590,TFmatrixID_0062,Inferred,ERF
AT1G24590,TFmatrixID_0059,Inferred,ERF
AT1G25330,TFmatrixID_0179,Inferred,bHLH
AT1G25330,TFmatrixID_0163,Inferred,bHLH
AT1G25330,TFmatrixID_0174,Inferred,bHLH
AT1G25330,TFmatrixID_0161,Inferred,bHLH
AT1G25330,TFmatrixID_0169,Inferred,bHLH
AT1G25340,TFmatrixID_1160,Direct,MYB
AT1G25340,TFmatrixID_1218,Direct,MYB
AT1G25550,TFmatrixID_1029,Direct,G2-like
AT1G25550,TFmatrixID_1040,Direct,G2-like
AT1G25550,TFmatrixID_0337,Direct,G2-like
AT1G25560,TF_motif_seq_0299,Direct,RAV
AT1G25560,TFmatrixID_0057,Direct,RAV
AT1G25560,TF_motif_seq_0255,Direct,RAV
AT1G26260,TFmatrixID_0161,Inferred,bHLH
AT1G26260,TFmatrixID_0163,Inferred,bHLH
AT1G26260,TFmatrixID_0174,Inferred,bHLH
AT1G26260,TFmatrixID_0169,Inferred,bHLH
AT1G26260,TFmatrixID_0179,Inferred,bHLH
AT1G26260,TFmatrixID_0177,Inferred,bHLH
AT1G26310,TFmatrixID_0529,Inferred,MIKC_MADS
AT1G26310,TFmatrixID_0470,Inferred,MIKC_MADS
AT1G26310,TFmatrixID_0493,Inferred,MIKC_MADS
AT1G26310,TFmatrixID_0481,Inferred,MIKC_MADS
AT1G26310,TFmatrixID_0530,Inferred,MIKC_MADS
AT1G26310,TFmatrixID_0469,Inferred,MIKC_MADS
AT1G26310,TFmatrixID_0536,Inferred,MIKC_MADS
AT1G26310,TFmatrixID_0537,Inferred,MIKC_MADS
AT1G26310,TFmatrixID_0499,Inferred,MIKC_MADS
AT1G26310,TFmatrixID_0538,Inferred,MIKC_MADS
AT1G26310,TFmatrixID_0508,Inferred,MIKC_MADS
AT1G26790,TF_motif_seq_0239,Direct,Dof
AT1G26960,TFmatrixID_0281,Inferred,HD-ZIP
AT1G26960,TFmatrixID_0541,Inferred,HD-ZIP
AT1G26960,TFmatrixID_0292,Inferred,HD-ZIP
AT1G26960,TFmatrixID_0484,Inferred,HD-ZIP
AT1G27360,TFmatrixID_1394,Direct,SBP
AT1G27360,TF_motif_seq_0508,Direct,SBP
AT1G27360,TFmatrixID_0401,Direct,SBP
AT1G27370,TFmatrixID_0401,Inferred,SBP
AT1G27370,TFmatrixID_0523,Inferred,SBP
AT1G27370,TF_motif_seq_0508,Direct,SBP
AT1G27370,TFmatrixID_0411,Inferred,SBP
AT1G27370,TFmatrixID_0410,Inferred,SBP
AT1G27370,TFmatrixID_0409,Inferred,SBP
AT1G27370,TFmatrixID_0408,Inferred,SBP
AT1G27370,TFmatrixID_1556,Direct,SBP
AT1G27370,TFmatrixID_0403,Inferred,SBP
AT1G27730,TFmatrixID_0947,Direct,C2H2
AT1G27730,TFmatrixID_0949,Direct,C2H2
AT1G27730,TFmatrixID_0211,Direct,C2H2
AT1G28160,TFmatrixID_0101,Inferred,ERF
AT1G28160,TFmatrixID_0075,Inferred,ERF
AT1G28160,TFmatrixID_0122,Inferred,ERF
AT1G28160,TFmatrixID_0677,Direct,ERF
AT1G28160,TFmatrixID_0744,Direct,ERF
AT1G28160,TFmatrixID_0053,Inferred,ERF
AT1G28300,TFmatrixID_0526,Direct,B3
AT1G28300,TFmatrixID_0155,Direct,B3
AT1G28360,TFmatrixID_0069,Inferred,ERF
AT1G28360,TFmatrixID_0059,Inferred,ERF
AT1G28360,TFmatrixID_0077,Inferred,ERF
AT1G28360,TFmatrixID_0075,Inferred,ERF
AT1G28360,TFmatrixID_0062,Inferred,ERF
AT1G28360,TFmatrixID_0110,Inferred,ERF
AT1G28360,TFmatrixID_0106,Inferred,ERF
AT1G28360,TFmatrixID_0103,Inferred,ERF
AT1G28360,TFmatrixID_0100,Inferred,ERF
AT1G28360,TFmatrixID_0061,Inferred,ERF
AT1G28360,TFmatrixID_0053,Inferred,ERF
AT1G28360,TFmatrixID_0122,Inferred,ERF
AT1G28370,TFmatrixID_0059,Direct,ERF
AT1G28370,TFmatrixID_0681,Direct,ERF
AT1G28370,TFmatrixID_0715,Direct,ERF
AT1G28420,TFmatrixID_0279,Direct,HB-other
AT1G28470,TFmatrixID_1279,Direct,NAC
AT1G28470,TFmatrixID_1276,Direct,NAC
AT1G29160,TF_motif_seq_0239,Direct,Dof
AT1G29160,TFmatrixID_0910,Direct,Dof
AT1G29160,TFmatrixID_0232,Direct,Dof
AT1G29160,TFmatrixID_0921,Direct,Dof
AT1G29280,TFmatrixID_0444,Inferred,WRKY
AT1G29280,TF_motif_seq_0270,Direct,WRKY
AT1G29280,TFmatrixID_0450,Inferred,WRKY
AT1G29280,TFmatrixID_0446,Inferred,WRKY
AT1G29280,TFmatrixID_0460,Inferred,WRKY
AT1G29280,TFmatrixID_0463,Inferred,WRKY
AT1G29280,TFmatrixID_0445,Inferred,WRKY
AT1G29280,TFmatrixID_0454,Inferred,WRKY
AT1G29280,TFmatrixID_0447,Inferred,WRKY
AT1G29280,TFmatrixID_1455,Direct,WRKY
AT1G29280,TFmatrixID_0452,Inferred,WRKY
AT1G29280,TFmatrixID_0458,Inferred,WRKY
AT1G29280,TFmatrixID_0453,Inferred,WRKY
AT1G29280,TFmatrixID_0462,Inferred,WRKY
AT1G29280,TFmatrixID_0442,Inferred,WRKY
AT1G29280,TFmatrixID_0459,Inferred,WRKY
AT1G29280,TF_motif_seq_0339,Direct,WRKY
AT1G29280,TFmatrixID_0456,Inferred,WRKY
AT1G29280,TFmatrixID_0464,Inferred,WRKY
AT1G29280,TFmatrixID_0468,Inferred,WRKY
AT1G29280,TFmatrixID_1461,Direct,WRKY
AT1G29280,TFmatrixID_0455,Inferred,WRKY
AT1G29280,TFmatrixID_0466,Inferred,WRKY
AT1G29280,TFmatrixID_0457,Inferred,WRKY
AT1G29280,TFmatrixID_0461,Inferred,WRKY
AT1G29280,TFmatrixID_0448,Inferred,WRKY
AT1G29860,TFmatrixID_0458,Inferred,WRKY
AT1G29860,TFmatrixID_1459,Direct,WRKY
AT1G29860,TFmatrixID_0457,Inferred,WRKY
AT1G29860,TFmatrixID_0442,Inferred,WRKY
AT1G29860,TFmatrixID_0447,Inferred,WRKY
AT1G29860,TFmatrixID_0466,Inferred,WRKY
AT1G29860,TFmatrixID_0448,Inferred,WRKY
AT1G29860,TF_motif_seq_0270,Direct,WRKY
AT1G29860,TFmatrixID_0463,Inferred,WRKY
AT1G29860,TFmatrixID_0445,Inferred,WRKY
AT1G29860,TFmatrixID_0460,Inferred,WRKY
AT1G29860,TFmatrixID_0443,Inferred,WRKY
AT1G29860,TFmatrixID_0456,Inferred,WRKY
AT1G29860,TFmatrixID_0452,Inferred,WRKY
AT1G29860,TFmatrixID_0459,Inferred,WRKY
AT1G29860,TFmatrixID_0446,Inferred,WRKY
AT1G29860,TFmatrixID_0450,Inferred,WRKY
AT1G29860,TFmatrixID_0468,Inferred,WRKY
AT1G29860,TFmatrixID_0455,Inferred,WRKY
AT1G29860,TF_motif_seq_0339,Direct,WRKY
AT1G29860,TFmatrixID_0453,Inferred,WRKY
AT1G29860,TFmatrixID_0444,Inferred,WRKY
AT1G29860,TFmatrixID_0454,Inferred,WRKY
AT1G29860,TFmatrixID_0462,Inferred,WRKY
AT1G29860,TFmatrixID_0464,Inferred,WRKY
AT1G30210,TFmatrixID_1421,Direct,TCP
AT1G30210,TFmatrixID_0421,Direct,TCP
AT1G30210,TFmatrixID_1399,Direct,TCP
AT1G30330,TF_motif_seq_0335,Direct,ARF
AT1G30330,TFmatrixID_0156,Inferred,ARF
AT1G30490,TFmatrixID_1063,Direct,HD-ZIP
AT1G30490,TF_motif_seq_0075,Direct,HD-ZIP
AT1G30490,TFmatrixID_0108,Direct,HD-ZIP
AT1G30490,TFmatrixID_0518,Direct,HD-ZIP
AT1G30490,TFmatrixID_0542,Direct,HD-ZIP
AT1G30500,TF_motif_seq_0257,Direct,NF-YA
AT1G30650,TF_motif_seq_0270,Direct,WRKY
AT1G30650,TFmatrixID_0442,Direct,WRKY
AT1G30650,TFmatrixID_1462,Direct,WRKY
AT1G30650,TFmatrixID_1470,Direct,WRKY
AT1G30650,TF_motif_seq_0339,Direct,WRKY
AT1G30970,TF_motif_seq_0146,Direct,C2H2
AT1G31140,TFmatrixID_1127,Direct,MIKC_MADS
AT1G31320,TFmatrixID_0303,Direct,LBD
AT1G32150,TFmatrixID_0838,Direct,bZIP
AT1G32150,TFmatrixID_0181,Direct,bZIP
AT1G32240,TFmatrixID_1045,Direct,G2-like
AT1G32240,TFmatrixID_0357,Inferred,G2-like
AT1G32240,TFmatrixID_1043,Direct,G2-like
AT1G32330,TF_motif_seq_0010,Direct,HSF
AT1G32510,TFmatrixID_1362,Direct,NAC
AT1G32640,TFmatrixID_0511,Direct,bHLH
AT1G32640,TF_motif_seq_0410,Direct,bHLH
AT1G32640,TFmatrixID_0160,Direct,bHLH
AT1G32640,TF_motif_seq_0301,Direct,bHLH
AT1G32640,TF_motif_seq_0298,Direct,bHLH
AT1G32770,TFmatrixID_1695,Direct,NAC
AT1G32770,TFmatrixID_1699,Direct,NAC
AT1G32770,TFmatrixID_1698,Direct,NAC
AT1G32770,TFmatrixID_1693,Direct,NAC
AT1G32770,TFmatrixID_1696,Direct,NAC
AT1G32770,TFmatrixID_0392,Inferred,NAC
AT1G32770,TFmatrixID_1702,Direct,NAC
AT1G32770,TFmatrixID_0383,Inferred,NAC
AT1G32770,TFmatrixID_1700,Direct,NAC
AT1G32770,TFmatrixID_1697,Direct,NAC
AT1G32770,TFmatrixID_0397,Inferred,NAC
AT1G32770,TFmatrixID_1701,Direct,NAC
AT1G32770,TFmatrixID_1694,Direct,NAC
AT1G32870,TFmatrixID_1360,Direct,NAC
