Gene_ID	Family
Sobic.002G114200	BBR-BPC
Sobic.002G114400	BBR-BPC
Sobic.002G128400	WRKY
Sobic.002G135100	NF-YB
Sobic.002G136200	BES1
Sobic.002G141450	TCP
Sobic.002G153100	bZIP
Sobic.002G162800	bZIP
Sobic.002G165080	FAR1
Sobic.002G168300	WRKY
Sobic.002G168400	bHLH
Sobic.002G174200	WRKY
Sobic.002G174300	WRKY
Sobic.002G182701	LBD
Sobic.002G192600	NAC
Sobic.002G198400	TCP
Sobic.002G198500	bHLH
Sobic.002G199200	NAC
Sobic.002G200300	NAC
Sobic.002G201100	ZF-HD
Sobic.002G201400	ZF-HD
Sobic.002G202600	bHLH
Sobic.002G202700	WRKY
Sobic.002G202800	WRKY
Sobic.002G222300	GeBP
Sobic.002G224200	HSF
Sobic.002G224300	NAC
Sobic.002G224500	bHLH
Sobic.002G225100	bZIP
Sobic.002G225300	HSF
Sobic.002G230000	bHLH
Sobic.002G231100	ZF-HD
Sobic.002G232900	bHLH
Sobic.002G235500	bZIP
Sobic.002G235700	bHLH
Sobic.002G236200	bHLH
Sobic.002G236600	Dof
Sobic.002G241500	NF-YC
Sobic.002G242500	WRKY
Sobic.002G246600	bHLH
Sobic.002G247300	bZIP
Sobic.002G247500	EIL
Sobic.002G247800	SBP
Sobic.002G251700	NAC
Sobic.002G253000	NAC
Sobic.002G255200	bHLH
Sobic.002G257900	SBP
Sobic.002G259600	NAC
Sobic.002G260600	bHLH
Sobic.002G264100	bZIP
Sobic.002G267000	bHLH
Sobic.002G267100	bHLH
Sobic.002G267700	bZIP
Sobic.002G268600	TCP
Sobic.002G271100	HSF
Sobic.002G274500	SRS
Sobic.002G275000	SRS
Sobic.002G275050	FAR1
Sobic.002G280800	bZIP
Sobic.002G287400	Nin-like
Sobic.002G290800	NAC
Sobic.002G290900	NAC
Sobic.002G294700	Trihelix
Sobic.002G295400	NAC
Sobic.002G301800	GRAS
Sobic.002G306000	CAMTA
Sobic.002G309200	FAR1
Sobic.002G312200	SBP
Sobic.002G312300	SBP
Sobic.002G313800	Dof
Sobic.002G316500	GRAS
Sobic.002G316600	FAR1
Sobic.002G329300	bHLH
Sobic.002G330300	GRAS
Sobic.002G332750	bHLH
Sobic.002G340000	FAR1
Sobic.002G342100	NAC
Sobic.002G342800	GRAS
Sobic.002G346800	YABBY
Sobic.002G353200	BES1
Sobic.002G354900	GRAS
Sobic.002G355000	WRKY
Sobic.002G357400	HRT-like
Sobic.002G357800	GRAS
Sobic.002G359200	bHLH
Sobic.002G359700	LBD
Sobic.002G359800	GRAS
Sobic.002G369800	NF-YB
Sobic.002G370800	NF-YA
Sobic.002G372100	GRAS
Sobic.002G374300	FAR1
Sobic.002G380200	CAMTA
Sobic.002G385300	bHLH
Sobic.002G389600	GeBP
Sobic.002G392500	HSF
Sobic.002G395600	bZIP
Sobic.002G397650	FAR1
Sobic.002G418100	bZIP
Sobic.002G418500	WRKY
Sobic.002G420700	NAC
Sobic.002G421400	NAC
Sobic.002G421900	Dof
Sobic.002G422300	EIL
Sobic.002G424000	bZIP
Sobic.002G425600	bZIP
Sobic.003G000600	WRKY
Sobic.003G000800	Nin-like
Sobic.003G001701	NAC
Sobic.003G003600	Nin-like
Sobic.003G004500	bHLH
Sobic.003G007000	FAR1
Sobic.003G017601	bHLH
Sobic.003G018700	TCP
Sobic.003G021800	bZIP
Sobic.003G026300	BES1
Sobic.003G031100	bHLH
Sobic.003G033500	Dof
Sobic.003G035100	NAC
Sobic.003G037400	WRKY
Sobic.003G037500	WRKY
Sobic.003G040500	NF-YC
Sobic.003G040800	WRKY
Sobic.003G046600	BES1
Sobic.003G049400	bZIP
Sobic.003G050500	bZIP
Sobic.003G052900	LBD
Sobic.003G060400	GeBP
Sobic.003G061400	bHLH
Sobic.003G062300	NF-X1
Sobic.003G068700	EIL
Sobic.003G077100	bHLH
Sobic.003G081000	bZIP
Sobic.003G086600	LBD
Sobic.003G089801	NAC
Sobic.003G099000	bHLH
Sobic.003G101100	NAC
Sobic.003G102200	bHLH
Sobic.003G102300	bHLH
Sobic.003G105200	bHLH
Sobic.003G105600	NAC
Sobic.003G105800	NAC
Sobic.003G110932	NAC
Sobic.003G112700	GeBP
Sobic.003G119800	NAC
Sobic.003G121400	Dof
Sobic.003G131100	Dof
Sobic.003G135101	ZF-HD
Sobic.003G136900	bHLH
Sobic.003G138400	WRKY
Sobic.003G139900	SBP
Sobic.003G140100	bHLH
Sobic.003G150400	Trihelix
Sobic.003G154500	bHLH
Sobic.003G157300	GATA
Sobic.003G170501	FAR1
Sobic.003G176700	FAR1
Sobic.003G183000	bZIP
Sobic.003G186200	Nin-like
Sobic.003G191800	bHLH
Sobic.003G194400	HSF
Sobic.003G195600	bHLH
Sobic.003G198000	FAR1
Sobic.003G199400	WRKY
Sobic.003G200700	WRKY
Sobic.003G221900	bHLH
Sobic.003G226600	WRKY
Sobic.003G226800	HSF
Sobic.003G227300	WRKY
Sobic.003G237201	GRAS
Sobic.003G242800	WRKY
Sobic.003G244100	bZIP
Sobic.003G246800	GATA
Sobic.003G248400	WRKY
Sobic.003G251800	NAC
Sobic.003G253200	Dof
Sobic.003G253500	Trihelix
Sobic.003G254850	NAC
Sobic.003G254900	NAC
Sobic.003G255000	NAC
Sobic.003G256300	E2F/DP
Sobic.003G272200	bHLH
Sobic.003G273200	bHLH
Sobic.003G276000	WRKY
Sobic.003G278300	Trihelix
Sobic.003G285500	WRKY
Sobic.003G286700	HSF
Sobic.003G287200	WRKY
Sobic.003G293100	GATA
Sobic.003G295900	HSF
Sobic.003G296300	WRKY
Sobic.003G298100	VOZ
Sobic.003G299700	TCP
Sobic.003G300100	bZIP
Sobic.003G301700	Dof
Sobic.003G303800	CPP
Sobic.003G305000	TCP
Sobic.003G310000	NAC
Sobic.003G311100	LBD
Sobic.003G313100	bHLH
Sobic.003G319800	bHLH
Sobic.003G327000	bZIP
Sobic.003G329500	bZIP
Sobic.003G332200	bZIP
Sobic.003G333300	NAC
Sobic.003G334600	NAC
Sobic.003G337500	WRKY
Sobic.003G337600	WRKY
Sobic.003G337700	WRKY
Sobic.003G337800	WRKY
Sobic.003G337900	WRKY
Sobic.003G340100	LBD
Sobic.003G341100	WRKY
Sobic.003G346500	NF-YB
Sobic.003G352600	GRAS
Sobic.003G353000	WRKY
Sobic.003G363400	bZIP
Sobic.003G363600	bZIP
Sobic.003G365500	NAC
Sobic.003G367100	Dof
Sobic.003G368300	bZIP
Sobic.003G377900	GRAS
Sobic.003G379700	NAC
Sobic.003G382300	NAC
Sobic.003G383700	LBD
Sobic.003G386900	GRAS
Sobic.003G391100	bHLH
Sobic.003G392800	GRAS
Sobic.003G400600	bHLH
Sobic.003G406600	SBP
Sobic.003G407200	CAMTA
Sobic.003G408400	TCP
Sobic.003G409800	NAC
Sobic.003G411500	Trihelix
Sobic.003G412200	bHLH
Sobic.003G417700	NF-YB
Sobic.003G417800	NF-YB
Sobic.003G423100	NAC
Sobic.003G423200	NAC
Sobic.003G423900	GRAS
Sobic.003G428800	bHLH
Sobic.003G429800	SRS
Sobic.003G444000	WRKY
Sobic.003G445800	GATA
Sobic.004G001100	bZIP
Sobic.004G003700	Trihelix
Sobic.004G012100	bHLH
Sobic.004G017500	bHLH
Sobic.004G023500	GATA
Sobic.004G026700	bZIP
Sobic.004G027800	BES1
Sobic.004G029651	FAR1
Sobic.004G031100	bZIP
Sobic.004G034100	Nin-like
Sobic.004G036900	SBP
Sobic.004G047500	Whirly
Sobic.004G058900	SBP
Sobic.004G059100	Trihelix
Sobic.004G059900	bZIP
Sobic.004G062100	SBP
Sobic.004G065900	WRKY
Sobic.004G070200	Trihelix
Sobic.004G070400	Trihelix
Sobic.004G074700	bZIP
Sobic.004G077500	bZIP
Sobic.004G078800	bZIP
Sobic.004G080300	GRAS
Sobic.004G085600	bZIP
Sobic.004G094100	GATA
Sobic.004G094600	bHLH
Sobic.004G101000	bHLH
Sobic.004G101400	HSF
Sobic.004G102500	BES1
Sobic.004G102700	BES1
Sobic.004G107900	bZIP
Sobic.004G112200	NAC
Sobic.004G115000	bHLH
Sobic.004G117600	WRKY
Sobic.004G124300	CPP
Sobic.004G138400	WRKY
Sobic.004G140000	bHLH
Sobic.004G150400	HSF
Sobic.004G158300	Trihelix
Sobic.004G163200	HSF
Sobic.004G168300	E2F/DP
Sobic.004G168800	bZIP
Sobic.004G170700	Trihelix
Sobic.004G171500	bHLH
Sobic.004G171600	bHLH
Sobic.004G173300	FAR1
Sobic.004G176600	NAC
Sobic.004G184200	bHLH
Sobic.004G184400	Trihelix
Sobic.004G189100	EIL
Sobic.004G191700	NAC
Sobic.004G200866	bZIP
Sobic.004G201600	NAC
Sobic.004G207200	bHLH
Sobic.004G209600	FAR1
Sobic.004G209700	FAR1
Sobic.004G219500	NAC
Sobic.004G225400	TCP
Sobic.004G228400	bHLH
Sobic.004G237000	bHLH
Sobic.004G237300	TCP
Sobic.004G237900	NAC
Sobic.004G238400	Nin-like
Sobic.004G239400	FAR1
Sobic.004G243900	E2F/DP
Sobic.004G252600	bZIP
Sobic.004G253300	bHLH
Sobic.004G254000	Dof
Sobic.004G254400	NF-YB
Sobic.004G254500	NF-YB
Sobic.004G264200	bHLH
Sobic.004G266200	Dof
Sobic.004G266800	ZF-HD
Sobic.004G267400	bHLH
Sobic.004G270900	bHLH
Sobic.004G271800	WRKY
Sobic.004G275500	bHLH
Sobic.004G281200	GRAS
Sobic.004G284400	Dof
Sobic.004G285600	bHLH
Sobic.004G290800	GRAS
Sobic.004G291000	GRAS
Sobic.004G298400	WRKY
Sobic.004G300500	Trihelix
Sobic.004G301100	GATA
Sobic.004G302400	NAC
Sobic.004G302700	YABBY
Sobic.004G309600	bZIP
Sobic.004G311200	GeBP
Sobic.004G311300	GeBP
Sobic.004G312200	WRKY
Sobic.004G312700	GeBP
Sobic.004G316500	NF-YA
Sobic.004G329800	bHLH
Sobic.004G336700	bHLH
Sobic.004G337500	GATA
Sobic.004G338800	NAC
Sobic.004G348800	LBD
Sobic.004G350300	NAC
Sobic.004G354301	NF-X1
Sobic.004G354700	TCP
Sobic.004G359200	bZIP
Sobic.005G001500	Dof
Sobic.005G004700	LBD
Sobic.005G013400	WRKY
Sobic.005G013500	WRKY
Sobic.005G013600	WRKY
Sobic.005G013800	WRKY
Sobic.005G014000	WRKY
Sobic.005G014200	WRKY
Sobic.005G017500	GRAS
Sobic.005G018500	NAC
Sobic.005G018700	NAC
Sobic.005G019800	ZF-HD
Sobic.005G022400	GATA
Sobic.005G028500	NAC
Sobic.005G029600	GRAS
Sobic.005G038700	bZIP
Sobic.005G041000	NAC
Sobic.005G041100	bZIP
Sobic.005G046100	bZIP
Sobic.005G046250	GRAS
Sobic.005G047200	Trihelix
Sobic.005G056300	NAC
Sobic.005G059900	NAC
Sobic.005G060000	NAC
Sobic.005G064600	NAC
Sobic.005G086700	ZF-HD
Sobic.005G089101	NF-YC
Sobic.005G095800	NAC
Sobic.005G100600	bZIP
Sobic.005G106366	FAR1
Sobic.005G110490	bHLH
Sobic.005G117400	WRKY
Sobic.005G120600	SBP
Sobic.005G123000	GRAS
Sobic.005G131900	bHLH
Sobic.005G143400	NF-YC
Sobic.005G162400	GATA
Sobic.005G177800	bHLH
Sobic.005G178400	bHLH
Sobic.005G188000	NAC
Sobic.005G189100	E2F/DP
Sobic.005G195400	bHLH
Sobic.005G208950	GRAS
Sobic.005G209000	GRAS
Sobic.005G209100	GRAS
Sobic.005G209200	GRAS
Sobic.005G209300	GRAS
Sobic.005G229400	GRAS
Sobic.005G229500	GRAS
Sobic.005G229600	GRAS
Sobic.005G229700	GRAS
Sobic.005G229900	GRAS
Sobic.005G230000	GRAS
Sobic.005G230100	GRAS
Sobic.005G230200	GRAS
Sobic.005G230300	GRAS
Sobic.005G230400	GRAS
Sobic.005G230500	GRAS
Sobic.005G230600	GRAS
Sobic.005G230700	GRAS
Sobic.005G230800	GRAS
Sobic.005G230900	GRAS
Sobic.005G231000	GRAS
Sobic.006G003800	NAC
Sobic.006G003850	NAC
Sobic.006G004100	NAC
Sobic.006G004800	GeBP
Sobic.006G008800	E2F/DP
Sobic.006G025000	TCP
Sobic.006G026250	FAR1
Sobic.006G042900	FAR1
Sobic.006G047200	bHLH
Sobic.006G051700	WRKY
Sobic.006G051800	CAMTA
Sobic.006G058400	Trihelix
Sobic.006G065800	Trihelix
Sobic.006G066600	S1Fa-like
Sobic.006G074600	E2F/DP
Sobic.006G076900	bHLH
Sobic.006G080500	bHLH
Sobic.006G083201	GRAS
Sobic.006G086000	NAC
Sobic.006G089000	bHLH
Sobic.006G090700	FAR1
Sobic.006G092100	NAC
Sobic.006G093700	GRAS
Sobic.006G093800	GRAS
Sobic.006G094500	Trihelix
Sobic.006G104000	EIL
Sobic.006G107400	NAC
Sobic.006G115700	WRKY
Sobic.006G118150	NAC
Sobic.006G118200	NAC
Sobic.006G119400	FAR1
Sobic.006G120301	NAC
Sobic.006G120400	NAC
Sobic.006G126600	Trihelix
Sobic.006G127900	bHLH
Sobic.006G133700	bZIP
Sobic.006G133900	Nin-like
Sobic.006G141900	NAC
Sobic.006G142925	FAR1
Sobic.006G147400	NAC
Sobic.006G154000	TCP
Sobic.006G160800	YABBY
Sobic.006G160900	NAC
Sobic.006G162800	GATA
Sobic.006G163600	Trihelix
Sobic.006G165100	Trihelix
Sobic.006G166100	GATA
Sobic.006G166300	WRKY
Sobic.006G171000	SBP
Sobic.006G172900	GRAS
Sobic.006G174725	NAC
Sobic.006G175200	bHLH
Sobic.006G175500	bHLH
Sobic.006G175700	bHLH
Sobic.006G179600	Nin-like
Sobic.006G180300	bHLH
Sobic.006G182300	Dof
Sobic.006G182800	HSF
Sobic.006G188900	GRAS
Sobic.006G190800	bZIP
Sobic.006G197400	bHLH
Sobic.006G197500	bHLH
Sobic.006G201000	WRKY
Sobic.006G201600	LFY
Sobic.006G204300	Trihelix
Sobic.006G206000	WRKY
Sobic.006G215050	FAR1
Sobic.006G217800	bHLH
Sobic.006G218300	NAC
Sobic.006G228300	bHLH
Sobic.006G233500	bZIP
Sobic.006G235650	FAR1
Sobic.006G236600	bHLH
Sobic.006G245900	FAR1
Sobic.006G247700	SBP
Sobic.006G261200	Trihelix
Sobic.006G267900	Dof
Sobic.006G272400	NF-YC
Sobic.006G276566	Nin-like
Sobic.006G279400	NAC
Sobic.006G281900	NAC
Sobic.007G003000	NAC
Sobic.007G008500	bHLH
Sobic.007G015500	NAC
Sobic.007G018100	NAC
Sobic.007G025200	bHLH
Sobic.007G025300	bHLH
Sobic.007G033800	bHLH
Sobic.007G047700	NAC
Sobic.007G051800	bHLH
Sobic.007G054400	FAR1
Sobic.007G054700	NF-YC
Sobic.007G059500	NF-YB
Sobic.007G061100	bZIP
Sobic.007G062200	bHLH
Sobic.007G063200	NF-YC
Sobic.007G069750	FAR1
Sobic.007G070100	NF-YC
Sobic.007G071000	NAC
Sobic.007G072133	WRKY
Sobic.007G077466	WRKY
Sobic.007G085300	WRKY
Sobic.007G109900	bZIP
Sobic.007G111600	WRKY
Sobic.007G117100	NF-YB
Sobic.007G118301	WRKY
Sobic.007G122600	LBD
Sobic.007G127800	Nin-like
Sobic.007G135700	TCP
Sobic.007G135900	bHLH
Sobic.007G136300	NAC
Sobic.007G138600	NAC
Sobic.007G139000	ZF-HD
Sobic.007G139200	ZF-HD
Sobic.007G153700	GeBP
Sobic.007G155300	bHLH
Sobic.007G155900	bZIP
Sobic.007G159300	bHLH
Sobic.007G160400	ZF-HD
Sobic.007G165100	LBD
Sobic.007G166100	NAC
Sobic.007G176700	bZIP
Sobic.007G179000	SRS
Sobic.007G180300	HSF
Sobic.007G182101	TCP
Sobic.007G182500	bZIP
Sobic.007G182900	bHLH
Sobic.007G183000	bHLH
Sobic.007G183050	bHLH
Sobic.007G183100	bHLH
Sobic.007G183200	bHLH
Sobic.007G184800	bZIP
Sobic.007G189400	bHLH
Sobic.007G190333	NAC
Sobic.007G193500	SBP
Sobic.007G197700	bHLH
Sobic.007G200400	LBD
Sobic.007G207000	SBP
Sobic.007G209200	NAC
Sobic.007G210200	SBP
Sobic.007G210700	EIL
Sobic.007G211000	bHLH
Sobic.007G217700	WRKY
Sobic.007G219500	NF-YC
Sobic.007G223200	Dof
Sobic.007G223300	bHLH
Sobic.007G224200	bHLH
Sobic.007G224400	bZIP
Sobic.007G225600	Trihelix
Sobic.008G001700	Dof
Sobic.008G005000	LBD
Sobic.008G012700	GRAS
Sobic.008G012800	GRAS
Sobic.008G016300	FAR1
Sobic.008G017600	NAC
Sobic.008G020700	ZF-HD
Sobic.008G021800	NAC
Sobic.008G023401	GRAS
Sobic.008G028600	WRKY
Sobic.008G028800	WRKY
Sobic.008G029000	WRKY
Sobic.008G029200	WRKY
Sobic.008G029400	WRKY
Sobic.008G037900	bZIP
Sobic.008G040600	bZIP
Sobic.008G042700	E2F/DP
Sobic.008G043000	NF-YC
Sobic.008G043900	bZIP
Sobic.008G044000	bHLH
Sobic.008G044100	FAR1
Sobic.008G046600	bZIP
Sobic.008G046700	GRAS
Sobic.008G047300	Trihelix
Sobic.008G051400	GATA
Sobic.008G051500	GATA
Sobic.008G051700	GATA
Sobic.008G057700	NAC
Sobic.008G059632	FAR1
Sobic.008G060300	WRKY
Sobic.008G064250	bHLH
Sobic.008G067900	bZIP
Sobic.008G071400	NAC
Sobic.008G071900	NF-YC
Sobic.008G073200	ZF-HD
Sobic.008G082000	Nin-like
Sobic.008G083200	bZIP
Sobic.008G094700	NAC
Sobic.008G107500	WRKY
Sobic.008G108800	FAR1
Sobic.008G116800	bHLH
Sobic.008G129300	bZIP
Sobic.008G136100	Dof
Sobic.008G138600	GRAS
Sobic.008G142100	NAC
Sobic.008G147800	bHLH
Sobic.008G148101	Dof
Sobic.008G153600	WRKY
Sobic.008G153700	bHLH
Sobic.008G153801	bHLH
Sobic.008G153900	bHLH
Sobic.008G154000	bHLH
Sobic.008G154100	bHLH
Sobic.008G154200	bHLH
Sobic.008G157100	bZIP
Sobic.008G160500	CPP
Sobic.008G160600	CPP
Sobic.008G163700	bHLH
Sobic.008G164800	NAC
Sobic.008G168300	NF-YA
Sobic.008G168400	GRAS
Sobic.008G172200	TCP
Sobic.008G174100	WRKY
Sobic.008G174650	NF-YA
Sobic.008G176300	YABBY
Sobic.008G179800	GATA
Sobic.008G183900	NAC
Sobic.008G186100	bHLH
Sobic.008G187500	bZIP
Sobic.008G190800	LBD
Sobic.009G008000	E2F/DP
Sobic.009G011000	GRAS
Sobic.009G011100	GRAS
Sobic.009G011200	GRAS
Sobic.009G011300	GRAS
Sobic.009G014400	Dof
Sobic.009G025900	LBD
Sobic.009G028300	Trihelix
Sobic.009G030100	bZIP
Sobic.009G034800	WRKY
Sobic.009G036333	bHLH
Sobic.009G036400	bHLH
Sobic.009G050600	GATA
Sobic.009G052800	bHLH
Sobic.009G057000	bHLH
Sobic.009G058600	LBD
Sobic.009G068900	WRKY
Sobic.009G071500	NAC
Sobic.009G071600	NAC
Sobic.009G073500	bHLH
Sobic.009G073800	bHLH
Sobic.009G086800	NAC
Sobic.009G088100	bHLH
Sobic.009G092100	WRKY
Sobic.009G100500	WRKY
Sobic.009G102400	LBD
Sobic.009G117700	GRAS
Sobic.009G117800	GRAS
Sobic.009G120600	NAC
Sobic.009G122600	SRS
Sobic.009G135000	SBP
Sobic.009G135300	FAR1
Sobic.009G137100	bZIP
Sobic.009G138500	LBD
Sobic.009G140500	NAC
Sobic.009G142200	NAC
Sobic.009G143400	GRAS
Sobic.009G143700	NAC
Sobic.009G152100	bZIP
Sobic.009G153400	Dof
Sobic.009G154300	NAC
Sobic.009G155050	bZIP
Sobic.009G160000	bHLH
Sobic.009G166200	NF-YB
Sobic.009G170550	FAR1
Sobic.009G171600	WRKY
Sobic.009G172000	FAR1
Sobic.009G174300	WRKY
Sobic.009G177100	GRAS
Sobic.009G178800	bZIP
Sobic.009G180700	bZIP
Sobic.009G181900	NF-YC
Sobic.009G182800	bZIP
Sobic.009G187500	GRAS
Sobic.009G187900	bHLH
Sobic.009G191600	CPP
Sobic.009G195000	TCP
Sobic.009G196100	Dof
Sobic.009G198100	VOZ
Sobic.009G199300	LBD
Sobic.009G202000	GATA
Sobic.009G206800	WRKY
Sobic.009G208000	HSF
Sobic.009G212800	WRKY
Sobic.009G214700	bHLH
Sobic.009G230700	Trihelix
Sobic.009G231600	NAC
Sobic.009G234100	WRKY
Sobic.009G234900	WRKY
Sobic.009G236000	GATA
Sobic.009G237600	bZIP
Sobic.009G238200	WRKY
Sobic.009G239101	FAR1
Sobic.009G239600	NF-YB
Sobic.009G243600	GATA
Sobic.009G244200	ZF-HD
Sobic.009G245500	NAC
Sobic.009G247300	WRKY
Sobic.009G247700	WRKY
Sobic.009G250000	bHLH
Sobic.009G258300	LBD
Sobic.009G260200	bHLH
Sobic.010G000100	NAC
Sobic.010G002900	NAC
Sobic.010G003700	GRAS
Sobic.010G017400	GRAS
Sobic.010G021200	BBR-BPC
Sobic.010G022400	NAC
Sobic.010G029450	NF-YB
Sobic.010G029500	NF-YB
Sobic.010G029600	NF-YB
Sobic.010G029800	NF-YB
Sobic.010G035200	Whirly
Sobic.010G035300	WRKY
Sobic.010G037701	LBD
Sobic.010G045700	WRKY
Sobic.010G051800	bHLH
Sobic.010G056000	BBR-BPC
Sobic.010G065500	bHLH
Sobic.010G071600	bHLH
Sobic.010G079800	GeBP
Sobic.010G081800	bZIP
Sobic.010G090800	NAC
Sobic.010G090850	NAC
Sobic.010G091700	bHLH
Sobic.010G092100	TCP
Sobic.010G092801	Nin-like
Sobic.010G101100	E2F/DP
Sobic.010G104100	NF-X1
Sobic.010G110100	bZIP
Sobic.010G111800	NAC
Sobic.010G115450	GRAS
Sobic.010G116200	bZIP
Sobic.010G119200	NF-YB
Sobic.010G124400	FAR1
Sobic.010G141700	FAR1
Sobic.010G147000	CPP
Sobic.010G148600	WRKY
Sobic.010G148800	WRKY
Sobic.010G151325	FAR1
